File Updated: 29-May-2025 16:31:49 
Data version 2.5 
Site:" Bondville, United States" 
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28402, Nitrate Ion PM2.5, 0.22, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28402, Nitrate Ion PM2.5, 0.43, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28402, Nitrate Ion PM2.5, 0.3, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28402, Nitrate Ion PM2.5, 0.36, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28402, Nitrate Ion PM2.5, 0.38, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28802, Ammonium Ion PM2.5, 0.66, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28802, Ammonium Ion PM2.5, 0.56, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28802, Ammonium Ion PM2.5, 0.5, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28802, Ammonium Ion PM2.5, 0.46, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28802, Ammonium Ion PM2.5, 0.53, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28202, BC PM2.5, 0.89, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,220,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Estimated from the HIPS-SSR BC curve,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28202, BC PM2.5, 0.77, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,220,  AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Estimated from the HIPS-SSR BC curve,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28801, Sodium Ion PM2.5, 0.06, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28801, Sodium Ion PM2.5, 0.05, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28801, Sodium Ion PM2.5, 0.06, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28801, Sodium Ion PM2.5, 0.06, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28801, Sodium Ion PM2.5, 0.07, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28403, Phosphate Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28403, Phosphate Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28403, Phosphate Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28403, Phosphate Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28403, Phosphate Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28404, Nitrite Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28404, Nitrite Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28404, Nitrite Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28404, Nitrite Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28404, Nitrite Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28405, Bromide Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28405, Bromide Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28405, Bromide Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28405, Bromide Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28405, Bromide Ion PM2.5, 0, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28803, Potassium Ion PM2.5, 0.08, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28803, Potassium Ion PM2.5, 0.09, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28803, Potassium Ion PM2.5, 0.09, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28803, Potassium Ion PM2.5, 0.07, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28803, Potassium Ion PM2.5, 0.12, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28804, Magnesium Ion PM2.5, 22.1, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28804, Magnesium Ion PM2.5, 56.6, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28804, Magnesium Ion PM2.5, 31.5, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28804, Magnesium Ion PM2.5, 39.3, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28804, Magnesium Ion PM2.5, 37.3, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28805, Calcium Ion PM2.5, 0.26, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28805, Calcium Ion PM2.5, 0.27, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28805, Calcium Ion PM2.5, 0.31, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28805, Calcium Ion PM2.5, 0.28, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28805, Calcium Ion PM2.5, 0.3, Micrograms per cubic meter (ug/m3), NaN,NaN,NaN,312,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%;,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28901, Lithium PM2.5, 0.18, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28901, Lithium PM2.5, 0.08, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28901, Lithium PM2.5, -0.07, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28901, Lithium PM2.5, -0.02, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28901, Lithium PM2.5, -0.02, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28804, Magnesium PM2.5, 41.62, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28804, Magnesium PM2.5, 24.3, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28804, Magnesium PM2.5, 24.47, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28804, Magnesium PM2.5, 36.74, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28804, Magnesium PM2.5, 31.41, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28902, Aluminum PM2.5, 8.8, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28902, Aluminum PM2.5, 9.25, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28902, Aluminum PM2.5, 14.2, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28902, Aluminum PM2.5, 10.25, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28902, Aluminum PM2.5, 6.84, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0001, 2015,8,11,9,2015,8,20,9,24,28903, Phosphorus PM2.5, 35.62, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0002, 2015,8,20,9,2015,8,29,9,24,28903, Phosphorus PM2.5, 15.02, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0005, 2015,9,16,9,2015,9,25,9,24,28903, Phosphorus PM2.5, 0.43, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0006, 2015,9,25,9,2015,10,4,9,24,28903, Phosphorus PM2.5, 6.55, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
USBO,   40.0533,-88.3719,212, USBO-0007, 2015,10,4,9,2015,10,13,9,24,28903, Phosphorus PM2.5, 4.47, Nanograms per cubic meter (ng/m3), NaN,NaN,NaN,412,  AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS; mass concentration presented at RH = 0%reported value of 0 ug/m3 indicates measurement below MDL for analysis method,Ambient local,
